	entities	total_count
0	sars cov 2	362422
1	coronavirus	247173
3	acute respiratory syndrome coronavirus 2	41967
4	severe acute respiratory syndrome coronavirus 2	41654
5	novel coronavirus	26078
6	coronaviruses	17965
12	corona	13575
7	cov2	11470
10	sars cov2	10383
8	cov 2 virus	9654
9	sars cov 2 virus	9567
11	ncov	9108
18	corona virus	8225
15	2019 ncov	6247
16	new coronavirus	5951
22	covid 19 virus	3807
25	coronavirus 2019	3093
23	2019 novel coronavirus	2658
39	betacoronavirus	1417
32	2019 coronavirus	1255
30	sars cov 2 coronavirus	1192
42	novel corona virus	1087
33	novel sars cov 2	1085
35	novel severe acute respiratory syndrome coronavirus 2	1070
40	new sars cov 2	923
43	virus that causes covid 19	746
47	novel coronavirus 2019	721
62	severe acute respiratory syndrome corona virus 2	584
51	sars coronavirus 2	547
49	19 coronavirus	504
53	severe acute respiratory syndrome coronavirus 2 (sars cov 2) virus	382
66	sarscov2	325
54	virus that causes coronavirus disease	314
58	sars cov 2 viruses	301
61	virus that causes coronavirus disease 2019	284
73	sars cov 19	263
75	novel sars cov 2 virus	202
89	hcov 19	197
77	new severe acute respiratory syndrome coronavirus 2	185
79	virus causing covid 19	168
90	ncov 2019	160
84	new corona virus	155
83	virus responsible for covid 19	124
85	novel sars cov 2 coronavirus	118
91	ncov 2	109
95	new sars cov 2 coronavirus	105
98	severe acute respiratory syndrome coronavirus 2 virus	103
93	novel cov	99
96	coronavirus that causes covid 19	90
103	novel coronavirus 2	88
122	severe acute respiratory syndrome virus 2	77
110	beta covs	76
102	new sars cov 2 virus	75
114	new coronavirus 2019	75
113	wuhan coronavirus	71
127	beta cov	71
139	covid19 virus	64
109	new cov	62
131	2019 novel corona	59
133	2019 novel corona virus	58
119	2019 sars cov 2	58
150	cov2 coronavirus	56
164	19 corona	53
125	covid 19 viruses	53
132	virus responsible for coronavirus disease 2019	52
130	wuhan virus	52
126	2019 ncov virus	52
129	2019 severe acute respiratory syndrome coronavirus 2	48
163	2019 corona	47
