	entities	total_count
1	delta	11498
2	alpha	10448
0	omicron	9941
3	beta	9171
4	gamma	5314
5	b.1.1.7	3799
8	delta variant	3453
10	omicron variant	2571
11	b.1.351	2183
12	b.1.617.2	1564
14	p.1	1424
16	ba.1	1083
17	ba.2	975
19	b.1.1.529	808
20	a variant	775
21	alpha variant	751
23	lambda	731
22	b.1	435
24	b.1.1.7 variant	433
25	theta	430
28	zeta	421
33	beta variant	334
27	24h	321
30	b.1.617	277
31	xdr	273
42	epsilon	271
62	eta	235
34	b.1.1.7 lineage	228
35	g variant	202
36	p.2	202
59	iota	201
37	b.1.351 variant	192
47	20a	191
38	b.1.429	187
41	lineage b.1.1.7	186
39	b.1.526	186
40	b.1.617.1	181
43	b.1.1.28	155
44	uk variant	146
52	gamma variant	142
45	b.1.427	140
46	b.1.1	140
48	20b	133
49	variant b.1.1.7	126
50	gra	126
51	lineage b	122
54	p.1 variant	110
60	19a	106
55	ba.1.1	105
56	xbj	104
61	b.1.1.33	94
63	ba.3	92
70	a lineage	87
64	variant as	86
65	r.1	84
74	lineage a	84
66	20 g	83
69	20c	81
72	xbp	79
71	ba.4	77
73	ay.1	76
75	ba.5	73
76	ay.4.2	71
86	19b	71
82	23a	70
77	b.1.617.2 variant	70
88	lambda variant	68
112	clade g	68
78	b.1.525	68
79	ba.2.12.1	63
81	b.6	62
87	xav	61
84	b.1.621	60
85	b.1.177	60
83	p.1 lineage	60
97	20g	59
89	c.1.2	58
91	variant by	57
92	c.37	56
93	b.1.36	56
95	south african variant	56
94	b.1.1.519	55
98	ba.1 variant	53
111	lineage c	50
100	variant at	50
101	b.1 lineage	49
103	b.1.1.248	48
104	mu variant	48
102	al.1	48
106	g clade	47
114	lineage p.1	47
105	a.27	46
107	by variant	46
124	as variant	46
108	b lineage	44
110	b.1.160	44
115	20e	44
135	21a	40
117	brazilian variant	39
113	b.1.258	39
116	b.1.618	38
118	b.1.617.3	37
119	gr clade	37
120	a.23.1	36
122	b.1.351 lineage	35
121	ay.4	34
123	b.1 variant	34
125	b.1.617 lineage	32
130	lineage b.1.617.2	32
126	variant b.1.351	31
133	lineage b.1.351	30
171	xcm	30
128	gh clade	30
129	b.1.620	30
127	b.1.2	30
132	clade 20a	29
134	r.1 lineage	28
160	clade gh	28
136	p.3	28
139	lineage by	27
141	ba.2 variant	27
145	by lineage	27
140	b.1.617.2 lineage	27
149	variant s	27
138	k variant	27
153	clade gr	26
142	b.1.617 variant	26
144	variant b.1.617.2	26
148	british variant	26
154	lineage b.1	25
193	v.2	25
147	ay.3	25
146	variant b.1.1.529	25
152	xec	24
