	entities	total_count
0	covid 19	1235262
1	coronavirus disease	99780
2	coronavirus disease 2019	77576
4	cov 2 infection	45717
5	sars cov 2 infection	45453
8	covid19	10691
9	post covid	9881
14	post covid 19	6450
15	novel coronavirus disease	6255
13	mis c	5595
16	coronavirus infection	5239
17	cov 2 infections	4325
19	coronavirus disease 19	4033
20	long covid	3608
18	acute respiratory syndrome coronavirus 2 (sars cov 2) infection	3393
35	corona virus disease 2019	2052
22	coronavirus pneumonia	1844
21	cov infection	1715
31	multisystem inflammatory syndrome in children	1614
23	covid 19 illness	1576
26	cov2 infection	1511
28	sars cov2 infection	1459
25	coronavirus infections	1344
29	novel coronavirus pneumonia	1310
27	pims	1289
43	novel corona	1139
30	ncp	1104
32	cov 2 pneumonia	1053
33	sars cov 2 pneumonia	1047
36	coronavirus 2 infection	989
38	acute respiratory syndrome coronavirus 2 infection	935
42	severe acute respiratory syndrome coronavirus 2 infection	926
39	new coronavirus infection	920
40	pasc	870
45	2019 coronavirus disease	869
41	pims ts	868
54	new coronavirus disease	724
53	novel coronavirus infection	691
51	2019 novel coronavirus disease	677
56	disease caused by sars cov 2	583
57	disease caused by severe acute respiratory syndrome coronavirus 2	574
68	coronavirus diseases	524
61	cov 2 disease	495
63	sars cov 2 disease	487
62	ncov infection	468
72	coronavirus infectious disease	459
65	2019 ncov infection	453
67	sequelae of covid 19	419
66	cov infections	408
78	long covid 19	390
71	sars 2	345
73	covid 19 related ards	308
75	sars2	292
79	cov 2 virus infection	289
81	sars cov 2 virus infection	282
113	corona virus disease 19	274
86	infectious disease caused by severe acute respiratory syndrome coronavirus 2	273
83	new coronavirus pneumonia	273
90	covid 19 related pneumonia	247
82	covid 19 associated pneumonia	247
94	coronavirus 2019 disease	246
92	coronavirus severe acute respiratory syndrome	239
89	x linked	231
103	coronavirus diseases 2019	209
106	novel corona virus disease	207
93	covid19 related	199
105	new corona	180
114	pediatric inflammatory multisystem syndrome	177
101	infection caused by sars cov 2	162
111	novel coronavirus severe acute respiratory syndrome	149
121	coronavirus (covid 19) infection	142
123	post covid19	141
131	coronavirus 19 disease	140
119	coronavirus (sars cov 2) infection	139
108	cov disease	137
109	ncov pneumonia	136
120	infection caused by severe acute respiratory syndrome coronavirus 2	132
112	2019 ncov pneumonia	132
145	paediatric inflammatory multisystem syndrome	132
117	covid 19 virus infection	122
158	corona disease	120
127	pneumonia caused by sars cov 2	113
128	infectious disease caused by sars cov 2	105
122	u07.1	104
125	covid ards	104
129	covid 19 related acute respiratory distress syndrome	102
151	post acute sequelae of sars cov 2 infection	94
152	post acute sequelae of covid 19	92
140	2019 novel coronavirus pneumonia	84
155	coronavirus disease (covid 19) infection	83
146	covid illness	83
139	19 coronavirus infection	79
153	chinese virus	77
157	pneumonia caused by severe acute respiratory syndrome coronavirus 2	76
160	disease caused by coronavirus	76
147	illness caused by severe acute respiratory syndrome coronavirus 2	76
142	2019 sars	74
166	coronavirus (covid 19) disease	73
144	covid 19 related disease	73
